Endpoint,Method,testresponsecode,Count,TPS,Avg,P90,P95
"draft-order/device",PUT,204,11591,"3.22","10.24","11.00","12.00"
merge,POST,204,56898,"15.81","51.49","60.19","63.21"
"draft-order/adjustment/discounts",POST,201,47673,"13.24","19.52","22.00","23.00"
"draft-order/billing/credit-cards",POST,201,10831,"3.01","174.74","211.23","234.23"
"draft-order/contact-methods",POST,201,10820,"3.01","14.76","16.00","17.00"
"draft-order",POST,200,16066,"4.46","221.56","334.45","365.80"
"draft-order/adjustment/discounts",GET,200,27262,"7.57","4.99","6.00","6.00"
"draft-order/bag/items",POST,200,84184,"23.38","43.37","62.64","84.73"
"draft-order?code=2HONOR&serialNumber=&selectedCouponCode=2HONOR&couponAnimation=true",GET,200,9237,"2.57","17.48","18.00","19.00"
"draft-order?code=SHINE17&serialNumber=&selectedCouponCode=SHINE17&couponAnimation=true",GET,200,18018,"5.01","17.54","18.00","19.00"
"draft-order?expand=status%2Cbilling%2Cdelivery",GET,200,85774,"23.83","45.79","55.29","62.23"
"draft-order?expand=status%2Cdelivery%2Cbilling&origin=billing&includeServiceLevels=true",GET,200,9279,"2.58","247.08","311.01","391.56"
"draft-order?expand=status%2Cdelivery%2Cbilling&origin=review&includeServiceLevels=true",GET,200,10819,"3.01","239.36","300.79","381.69"
"draft-order?expand=status%2Cdelivery&origin=cart",GET,200,20439,"5.68","44.45","55.38","60.74"
"draft-order?expand=status%2Cdelivery&origin=cart&akZip=27833",GET,200,63692,"17.69","92.40","107.30","115.75"
"draft-order?includeServiceLevels=true&expand=status%2Cdelivery%2Cbilling&origin=billing&akZip=27833",GET,200,1547,"0.43","148.47","194.10","226.60"
"draft-order?includeServiceLevels=true&expand=status%2Cdelivery%2Cbilling&origin=shipping&akZip=27833",GET,200,9283,"2.58","80.80","90.54","107.83"
"draft-order?origin=pdp",GET,200,84113,"23.36","45.36","54.39","62.38"
"draft-order?scc=true",POST,200,1007,"0.28","464.39","569.03","632.07"
"GetDraftOrder_ViewCart",GET,200,85774,"23.83","80.17","104.54","112.16"
"Delivery Group",PUT,200,9282,"2.58","165.09","179.21","198.95"
"initiate-checkout",POST,200,21203,"5.89","339.24","554.83","622.73"
"Submit Order",POST,412,24,"0.01","201.50","251.10","256.25"
"Submit Order",POST,200,9839,"2.73","346.62","437.18","507.67"
"Best Coupon",GET,200,85778,"68.04","23.83","79.37","86.72"
