Endpoint,Method,testresponsecode,Count,TPS,Avg,P90,P95
merge,POST,204,4692,"1.30","48.42","51.00","52.49"
"draft-order/adjustment/discounts",POST,201,4704,"1.31","18.01","20.00","20.00"
"draft-order/billing/credit-cards",POST,201,2642,"0.73","246.82","284.09","304.22"
"draft-order/contact-methods",POST,201,2643,"0.73","14.91","16.00","17.00"
"draft-order",GET,200,18732,"5.20","39.05","44.10","49.70"
"draft-order",POST,200,6878,"1.91","153.39","224.70","248.67"
"draft-order/bag/items",POST,200,18740,"5.21","34.19","46.11","56.11"
"draft-order?expand=status",GET,200,4678,"1.30","46.26","51.00","57.81"
"draft-order?expand=status%2Cbilling%2Cdelivery",GET,200,28132,"7.81","41.77","48.00","54.08"
"draft-order?expand=status%2Cdelivery%2Cbilling&includeServiceLevels=true",GET,200,10557,"2.93","166.21","210.59","244.22"
"draft-order?expand=status%2Cdelivery&includeServiceLevels=true",GET,200,1251,"0.35","166.68","214.02","248.50"
"draft-order?expand=status%2Cdelivery&origin=cart",GET,200,14060,"3.91","49.25","55.98","64.14"
"GetDraftOrder_ViewCart",GET,200,14097,"3.92","49.36","56.14","95.00"
"Delivery Group",PUT,200,2641,"0.73","98.10","138.85","148.58"
"initiate-checkout",POST,200,4686,"1.30","122.08","135.01","157.35"
"Submit Order",POST,200,2191,"0.61","220.37","265.79","300.41"
"Best Coupon",GET,200,28158,"7.82","62.69","70.00","76.28"
