Endpoint,Method,testresponsecode,Count,TPS,Avg,P90,P95
"draft-order/adjustment/discounts",POST,201,5474,"1.52","78.45","179.36","208.51"
"draft-order/billing/credit-cards",POST,201,2744,"0.76","245.97","282.89","303.19"
"draft-order/contact-methods",POST,201,2746,"0.76","14.83","16.00","17.00"
"draft-order",GET,200,21867,"6.07","39.93","45.21","51.37"
"draft-order",POST,200,6761,"1.88","152.44","219.37","238.02"
"draft-order/bag/items",POST,200,21869,"6.07","32.66","37.00","43.20"
"draft-order?expand=status",GET,200,5473,"1.52","46.69","52.00","58.74"
"draft-order?expand=status%2Cbilling%2Cdelivery",GET,200,32828,"9.12","42.34","48.45","55.13"
"draft-order?expand=status%2Cdelivery%2Cbilling&includeServiceLevels=true",GET,200,10988,"3.05","161.04","193.40","234.02"
"draft-order?expand=status%2Cdelivery&includeServiceLevels=true",GET,200,1349,"0.37","162.93","193.04","236.90"
"draft-order?expand=status%2Cdelivery&origin=cart",GET,200,15446,"4.29","81.32","93.44","101.51"
"GetDraftOrder_ViewCart",GET,200,15446,"4.29","81.32","93.44","101.53"
"Delivery Group",PUT,200,2750,"0.76","97.98","138.51","147.35"
"initiate-checkout",POST,200,4484,"1.25","121.18","134.81","157.68"
"Submit Order",POST,200,2277,"0.63","214.00","249.33","286.13"
"Best Coupon",GET,200,32847,"9.12","63.32","71.00","77.00"
