Endpoint,Method,testresponsecode,Count,TPS,Avg,P90,P95
"addresses ",GET,200,31999,"8.89","20.29","22.00","23.56"
"saved-items ",GET,200,29856,"8.29","40.06","52.21","59.23"
"myFavorites ",GET,200,19910,"5.53","47.01","61.90","68.48"
"payment-methods ",GET,200,14285,"3.97","23.62","27.00","28.00"
"addresses ",POST,201,10854,"3.02","100.93","111.07","117.59"
"myFavorites ",POST,201,9960,"2.77","31.58","36.00","37.00"
"e7414fb36e996dfa82952278d91ddc0f ",GET,200,9946,"2.76","134.43","156.33","183.93"
"saved-items ",POST,201,9950,"2.76","39.78","43.00","44.00"
"trending-list ",GET,200,9946,"2.76","99.91","138.99","183.30"
"savedForLater ",GET,200,3487,"0.97","9.35","11.00","12.00"
"payment-methods ",POST,201,102,"0.03","52.22","162.00","168.00"
