Endpoint,StatusCode,TPS,Count,Average,P90,P95
"/content-aggregator/aggregate-pages/home",200,"0.51",1823,"18.72","21.00","22.00"
"/content-aggregator/aggregate-pages/s*",200,"45.94",165379,"27.42","31.00","32.00"
"/content-aggregator/aggregate-pages/s*",400,"0.00",2,"1.00","1.00","1.00"
"/content-aggregator/aggregate-pages/s*",404,"0.05",175,"8.50","9.00","10.00"
"/content-aggregator/aggregate-pages/g*",200,"52.39",188596,"41.39","79.42","100.50"
"/content-aggregator/aggregate-pages/g*",206,"0.00",1,"325.00","325.00","325.00"
"/content-aggregator/aggregate-pages/g*",400,"0.00",1,"1.00","1.00","1.00"
"/content-aggregator/aggregate-pages/g*",404,"0.03",103,"14.96","32.00","33.90"
"/content-aggregator/aggregate-pages/d*",200,"1.91",6875,"92.15","186.21","209.61"
"/content-aggregator/aggregate-pages/d*",404,"0.00",3,"25.67","37.20","37.60"
"/content-aggregator/shared-components/zones/SiteWidePromo/*",200,"83.95",302231,"17.22","26.05","35.86"
"/content-aggregator/shared-components/zones/SiteWidePromo/*",400,"0.00",1,"1.00","1.00","1.00"
"/content-aggregator/shared-components/zones/SiteWidePromo/*",404,"0.06",215,"6.57","8.00","10.00"
"/content-aggregator/shared-components/zones/s1/pdp*",200,"108.52",390665,"20.27","29.22","41.39"
"/content-aggregator/shared-components/zones/s1/pdp*",404,"0.15",542,"8.30","11.97","16.00"
"/content-aggregator/shared-components/zones/SiteWideTimer/*",200,"283.31",1019900,"14.25","22.09","29.21"
"/content-aggregator/shared-components/zones/SiteWideTimer/*",400,"0.00",2,"0.50","0.90","0.95"
"/content-aggregator/shared-components/zones/SiteWideTimer/*",404,"0.26",922,"7.29","10.00","13.32"
"/content-aggregator/globalnav/L2",200,"0.00",4,"10.75","11.70","11.85"
