Endpoint,StatusCode,TPS,Count,Average,P90,P95
"/content-api/aggregate-pages/home",200,"0.51",1823,"8.28","10.00","10.00"
"/content-api/aggregate-pages/s*",2,"0.00",1,,,
"/content-api/aggregate-pages/s*",200,"45.94",165371,"22.67","26.00","27.00"
"/content-api/aggregate-pages/s*",404,"0.05",170,"4.27","5.00","5.00"
"/content-api/aggregate-pages/g*",200,"52.39",188602,"24.48","29.28","34.79"
"/content-api/aggregate-pages/g*",404,"0.02",65,"3.25","5.00","5.00"
"/content-api/aggregate-pages/g*",500,"0.01",38,"21.18","25.00","26.15"
"/content-api/aggregate-pages/d*",200,"1.91",6876,"13.25","17.00","18.00"
"/content-api/aggregate-pages/d*",404,"0.00",3,"24.00","35.20","35.60"
"/content-api/aggregate-pages/m*",200,"0.00",1,"6.00","6.00","6.00"
"/content-api/shared-components/zones/SiteWidePromo/*",20,"0.00",1,,,
"/content-api/shared-components/zones/SiteWidePromo/*",200,"83.95",302224,"7.14","8.00","9.00"
"/content-api/shared-components/zones/SiteWidePromo/*",404,"0.05",171,"3.92","5.00","5.00"
"/content-api/shared-components/zones/SiteWideTimer/*",200,"283.30",1019888,"5.88","7.00","7.00"
"/content-api/shared-components/zones/SiteWideTimer/*",404,"0.09",340,"3.98","5.00","5.00"
"/content-api/globalnav/L2",200,"0.00",4,"7.50","8.00","8.00"
"/content-api/content/couponTile",200,"0.03",115,"60.32","65.00","67.00"
