Endpoint,Resp,Count,TPS,Avg,P90,P95
OTS,2,1,"0.00",,,
OTS,200,91673,"25.46","130.12","200.86","257.09"
PSB,2,1,"0.00",,,
PSB,200,780566,"216.82","12.11","16.00","17.43"
"Tax Service",200,82350,"22.88","125.10","186.88","248.75"
Sabrix,83099,"23.08","117.58","176.17","224.36"
"Pricing Service",2,"0.00",,
"Pricing Service",910509,"252.92","4.00","5.00"
"Promotion Evaluation",1,"0.00",,,
"Promotion Evaluation",590828,"164.12","5.57","7.00","7.00"
"Shipment Service",4,"0.00",,,
"Shipment Service",2,"0.00",,,
"Shipment Service",578779,"160.77","1.75","2.00","2.00"
"ALL SKU LEVEL",200,4641,"1.29","4.88","6.00","7.00"
"PRODUCT LEVEL",200,4641,,"4.88","6.00","7.00"
"SKU LEVEL",20,1,"0.00",,,
"SKU LEVEL",200,358252,"99.51","3.62","4.00","5.00"
"SKU LEVEL",404,5649,"1.57","6.14","12.00","13.00"
PPLEVEL,200,81533,"22.65","3.63","4.00","5.00"
PPLEVEL,404,40562,"11.27","3.27","4.00","4.00"
"RTP_SEARCH_48TILES",200,405448,"112.62","3.74","6.00","8.00"
CarePlan,200,48045,"13.35","32.61","49.76","53.00"
CouponCode,200,77,,"5.31","6.00","7.20"
