Endpoint,StatusCode,Count,TPS,Avg,P90,P95
"Gallery-organic",200,17765,"4.93","77.00","126.66","171.73"
"Gallery-organic",206,27881,"7.74","30.53","72.73","87.72"
"Gallery-organic",302,141,"0.04","5.69","6.00","7.00"
"Gallery-organic",500,26,"0.01","16.00","18.50","19.75"
"Gallery-sort-organic",200,13928,"3.87","70.97","113.20","152.84"
"Gallery-sort-organic",206,2782,"0.77","26.17","68.14","77.53"
"Gallery_PAGINATION-organic",200,6633,"1.84","87.98","138.60","192.94"
"Gallery_PAGINATION-organic",206,18614,"5.17","37.48","67.02","98.79"
"Gallery_PAGINATION-organic",302,145,"0.04","6.66","6.00","6.00"
"Gallery_PAGINATION-organic",500,16,"0.00","20.88","19.50","37.75"
"Gallery_FACET-organic",200,17123,"4.76","65.56","116.09","153.41"
"Gallery_FACET-organic",206,150,"0.04","22.99","29.60","53.70"
"Gallery_FACET-organic",302,2,"0.00","5.50","5.90","5.95"
"Gallery_FACET-organic",400,1,"0.00","50.00","50.00","50.00"
