Endpoint,RespCode,TPS,Count,Avg,P90,P95
"Edge - /rewards-profile?expand=points%2Ccertificates%2Crecentactivity",200,"14.64",52690,"110.84","187.90","242.70"
"Edge - /rewards-profile?expand=points%2Ccertificates%2Crecentactivity",400,"0.01",25,"226.16","346.80","364.00"
"APP-Loyalty-api /rewards-profile?expand=points%2Ccertificates%2Crecentactivity",200,"14.64",52690,"109.18","186.18","241.04"
"APP-Loyalty-api /rewards-profile?expand=points%2Ccertificates%2Crecentactivity",400,"0.01",25,"224.44","345.20","362.00"
"APP-Loyalty-api /rewards-profile",200,"0.02",74,"52.92","124.40","146.10"
"APP- Loyalty-Service /api/v1/accounts/*/rewards/profile",200,"24.32",87563,"11.53","14.00","14.98"
"Edge - /rewards-history",200,"28.84",103827,"174.81","255.77","298.82"
"Edge - /rewards-history",400,"0.01",19,"9.84","11.20","12.10"
"Edge - /rewards-history",401,"0.02",81,"3.78","4.00","4.00"
"Edge - /rewards-history",500,"0.01",23,"14.57","16.00","16.00"
"APP-Loyalty-Api /rewards-history",200,"28.84",103828,"173.20","253.48","297.19"
"APP-Loyalty-Api /rewards-history",400,"0.01",19,"8.32","9.00","9.20"
"APP-Loyalty-Api /rewards-history",401,"0.02",81,"1.65","1.00","1.00"
"APP-Loyalty-Api /rewards-history",500,"0.01",46,"5.74","7.00","7.00"
"Edge - /v5/rewards-customers/pos?phone",200,"28.86",103894,"109.11","138.94","187.23"
"Edge - /v5/rewards-customers/pos?phone",400,"0.01",23,"20.87","26.00","94.50"
"Edge - /v5/rewards-customers/pos?phone",401,"0.02",84,"2.98","4.00","4.00"
"Edge - /v5/rewards-customers/pos?phone",404,"0.01",23,"107.57","138.00","197.60"
"APP-Loyalty-api /rewards-customers/pos?phone",200,"28.86",103894,"107.54","137.31","185.10"
"APP-Loyalty-api /rewards-customers/pos?phone",400,"0.01",23,"18.35","21.80","91.50"
"APP-Loyalty-api /rewards-customers/pos?phone",401,"0.02",84,"0.68","1.00","1.00"
"APP-Loyalty-api /rewards-customers/pos?phone",404,"0.01",23,"106.00","135.40","196.40"
"Edge - /v5/rewards-customers/pos?Email",200,"28.89",104005,"108.47","135.90","164.91"
"Edge - /v5/rewards-customers/pos?Email",400,"0.01",18,"11.94","16.90","28.10"
"Edge - /v5/rewards-customers/pos?Email",401,"0.04",150,"3.31","3.10","4.00"
"APP-Loyalty-api /rewards-customers/pos?Email",200,"28.89",104005,"106.90","134.37","162.89"
"APP-Loyalty-api /rewards-customers/pos?Email",400,"0.01",18,"10.50","14.30","24.55"
"APP-Loyalty-api /rewards-customers/pos?Email",401,"0.04",150,"0.78","1.00","1.00"
"Loyalty-Adapter",200,"106.29",382652,"122.15","188.37","207.81"
"Loyalty-Adapter",500,"0.02",85,"48.84","274.60","290.80"
