Endpoint,StatusCode,Count,TPS,Avg,P90,P95
"CompleteSearch-organic",200,136605,"37.95","141.41","254.94","330.64"
"CompleteSearch-organic",206,10250,"2.85","71.45","111.19","135.41"
"CompleteSearch-organic",400,5,"0.00","67.80","134.00","143.00"
"CompleteSearch-sort-organic",200,13802,"3.83","86.99","138.31","180.62"
"CompleteSearch-sort-organic",206,21,"0.01","50.52","63.00","78.00"
"CompleteSearch_PAGINATION-organic",200,12485,"3.47","134.69","230.40","311.41"
"CompleteSearch_PAGINATION-organic",206,7916,"2.20","59.20","91.58","124.23"
"CompleteSearch_FACET-organic",200,17454,"4.85","86.28","143.09","183.69"
"CompleteSearch_FACET-organic",206,4,"0.00","66.75","83.30","84.65"
"CompleteSearch_Ntt-organic",200,6,"0.00","170.17","253.00","273.50"
"v1/search-classifier",200,211066,"58.63","10.57","14.35","16.17"
"Predictive_Search",200,1101013,"305.84","8.53","13.00","15.00"
"organicproductlist/g",200,145906,"40.53","39.55","53.47","70.20"
"organicproductlist/g",400,1,"0.00","9.00","9.00","9.00"
"Search-storelocator_Location_/Gallery",200,285939,"79.43","48.07","73.10","96.63"
"Search-storelocator_Location_/Gallery",400,50,"0.01","30.14","44.30","54.05"
"Search-storelocator_Location_/Gallery",500,43,"0.01","44.00","68.00","108.50"
"Search-storelocator_Location_/Search",200,191610,"53.23","100.06","165.03","203.79"
"Search-storelocator_Location_/Search",400,44,"0.01","32.05","48.20","62.05"
"Search-storelocator_Location_/Search",500,8,"0.00","136.63","167.50","193.75"
"Overall_Search_Organic",200,194245,"53.96","127.83","232.08","303.64"
"Overall_Search_Organic",206,32356,"8.99","68.69","101.57","128.92"
"Overall_Search_Organic",400,5,"0.00","67.80","134.00","143.00"
"Overall_Gallery_Organic",200,55426,"15.40","73.26","121.65","164.40"
"Overall_Gallery_Organic",206,49427,"13.73","32.88","71.80","90.60"
"Overall_Gallery_Organic",302,288,"0.08","6.17","6.00","6.65"
"Overall_Gallery_Organic",400,1,"0.00","50.00","50.00","50.00"
"Overall_Gallery_Organic",500,42,"0.01","17.86","19.00","20.00"
"Overall_Search-storelocator",200,477549,"132.65","68.93","129.92","162.39"
"Overall_Search-storelocator",400,94,"0.03","31.03","46.10","60.75"
"Overall_Search-storelocator",500,51,"0.01","58.53","124.00","143.00"
