Endpoint,Count,TPS,Avg,P90,P95
"Yoda-PDP",370971,"103.05","87.65","139.44","169.15"
"Yoda-gallery-g",147043,"40.85","81.40","123.86","145.90"
"Yoda-gallery-s",124116,"34.48","65.07","80.13","90.56"
"Yoda-Cart",84059,"23.35","151.19","189.18","212.33"
"/checkout/oc",9847,"2.74","92.46","107.89","115.40"
"/checkout/payment",1550,"0.43","198.10","247.39","278.01"
"/checkout/review",9582,"2.66","349.41","441.97","507.52"
"/checkout/shipping",9290,"2.58","130.40","147.90","164.81"
"/account/dashboard",10681,"2.97","44.08","60.64","68.23"
"/account/dashboard/wallet",10649,"2.96","42.71","60.32","68.20"
"/signin",11491,"3.19","40.63","56.84","63.97"
"/mylist",9946,"2.76","52.19","67.38","76.59"
"/savedlist",9949,"2.76","52.55","67.92","78.27"
"/",2555,"0.71","417.78","1258.47","1833.07"
"/assets/scripts/done.js.gz",5288,"1.47","10.60","16.90","54.52"
"/d/baby",1935,"0.54","425.51","641.35","812.29"
"/d/baby-kids",588,"0.16","341.18","505.20","1026.06"
"/d/bed-and-bath",2046,"0.57","283.26","416.08","512.59"
"/d/home-store",1329,"0.37","324.59","434.69","513.03"
"/d/jewelry-and-watches",1328,"0.37","319.14","447.36","532.60"
"/d/juniors",1759,"0.49","294.32","453.75","588.63"
"/d/kids",1328,"0.37","331.05","464.64","551.25"
"/d/men",1861,"0.52","653.64","952.71","1194.08"
"/d/purses-accessories",2031,"0.56","277.44","435.38","544.01"
"/d/salon",1973,"0.55","286.31","427.83","525.62"
"/d/sephora",1330,"0.37","318.76","444.13","517.01"
"/d/shoes",1908,"0.53","266.30","440.83","544.89"
"/d/window",1889,"0.52","292.44","415.56","517.25"
"/d/women",1743,"0.48","277.55","416.22","537.02"
"/d/women/lingerie",2610,"0.73","237.45","389.17","467.19"
"/launchpad",25649,"7.12","53.60","94.56","104.50"
"/rewards/dashboard",10683,"2.97","47.21","59.22","65.62"
"/warmupsites",7393,"2.05","245.48","608.73","1565.56"
