Endpoint,Method,testresponsecode,Count,TPS,Avg,P90,P95
"draft-order/device",PUT,204,11437,"3.13","10.96","12.00","13.00"
merge,POST,204,58417,"15.97","49.90","59.00","62.04"
"draft-order/adjustment/discounts",POST,201,47403,"12.96","20.75","23.00","24.00"
"draft-order/billing/credit-cards",POST,201,10688,"2.92","25.48","27.05","28.60"
"draft-order/contact-methods",POST,201,10695,"2.92","15.84","17.00","18.00"
"draft-order",POST,200,15830,"4.33","226.62","325.17","363.77"
"draft-order/adjustment/discounts",GET,200,27295,"7.46","5.68","7.00","7.00"
"draft-order/bag/items",POST,200,83073,"22.70","45.91","64.96","87.77"
"draft-order?code=2HONOR&serialNumber=&selectedCouponCode=2HONOR&couponAnimation=true",GET,200,8941,"2.44","18.46","20.00","21.00"
"draft-order?code=SHINE17&serialNumber=&selectedCouponCode=SHINE17&couponAnimation=true",GET,200,18346,"5.01","18.56","20.00","21.49"
"draft-order?expand=status%2Cbilling%2Cdelivery",GET,200,84623,"23.13","48.41","57.86","64.55"
"draft-order?expand=status%2Cdelivery%2Cbilling&origin=billing&includeServiceLevels=true",GET,200,9172,"2.51","250.40","325.23","403.11"
"draft-order?expand=status%2Cdelivery%2Cbilling&origin=review&includeServiceLevels=true",GET,200,10688,"2.92","241.26","301.56","387.70"
"draft-order?expand=status%2Cdelivery&origin=cart",GET,200,20138,"5.50","46.68","58.00","62.98"
"draft-order?expand=status%2Cdelivery&origin=cart&akZip=27833",GET,200,62880,"17.19","97.43","112.07","120.89"
"draft-order?includeServiceLevels=true&expand=status%2Cdelivery%2Cbilling&origin=billing&akZip=27833",GET,200,1522,"0.42","153.08","200.59","236.17"
"draft-order?includeServiceLevels=true&expand=status%2Cdelivery%2Cbilling&origin=shipping&akZip=27833",GET,200,9182,"2.51","83.16","93.15","105.32"
"draft-order?origin=pdp",GET,200,83027,"22.69","47.72","56.60","64.18"
"draft-order?scc=true",POST,200,984,"0.27","465.08","552.86","642.83"
"GetDraftOrder_ViewCart",GET,200,84622,"23.13","84.51","109.14","117.16"
"Delivery Group",PUT,200,9169,"2.51","168.70","184.39","204.80"
"initiate-checkout",POST,200,20838,"5.69","342.67","559.54","626.96"
"Submit Order",POST,412,25,"0.01","209.80","285.80","334.60"
"Submit Order",POST,200,9674,"2.64","350.12","445.15","522.34"
"Best Coupon",GET,200,84638,"72.07","23.13","82.95","90.81"
