Endpoint,Method,testresponsecode,Count,TPS,Avg,P90,P95
merge,POST,204,4616,"1.26","50.85","54.00","56.08"
"draft-order/adjustment/discounts",POST,201,4635,"1.27","19.27","21.00","22.00"
"draft-order/billing/credit-cards",POST,201,2600,"0.71","95.34","102.00","107.26"
"draft-order/contact-methods",POST,201,2601,"0.71","15.72","17.00","18.00"
"draft-order",GET,200,18452,"5.04","41.63","47.07","52.81"
"draft-order",POST,200,6772,"1.85","157.55","214.31","245.94"
"draft-order/bag/items",POST,200,18474,"5.05","36.49","47.96","57.28"
"draft-order?expand=status",GET,200,4611,"1.26","49.06","53.96","59.92"
"draft-order?expand=status%2Cbilling%2Cdelivery",GET,200,27714,"7.57","44.35","50.36","55.98"
"draft-order?expand=status%2Cdelivery%2Cbilling&includeServiceLevels=true",GET,200,10393,"2.84","169.63","215.13","249.71"
"draft-order?expand=status%2Cdelivery&includeServiceLevels=true",GET,200,1230,"0.34","167.62","216.61","251.07"
"draft-order?expand=status%2Cdelivery&origin=cart",GET,200,13840,"3.78","51.16","58.07","65.04"
"GetDraftOrder_ViewCart",GET,200,13870,"3.79","51.24","58.15","95.00"
"Delivery Group",PUT,200,2596,"0.71","101.84","143.31","152.05"
"initiate-checkout",POST,200,4616,"1.26","127.26","141.75","161.64"
"Submit Order",POST,200,2156,"0.59","222.41","264.81","300.72"
"Best Coupon",GET,200,27731,"7.58","66.65","73.80","80.26"
