Endpoint,Method,testresponsecode,Count,TPS,Avg,P90,P95
"draft-order/adjustment/discounts",POST,201,5424,"1.48","77.09","178.06","204.03"
"draft-order/billing/credit-cards",POST,201,2725,"0.74","94.34","101.00","106.36"
"draft-order/contact-methods",POST,201,2726,"0.75","15.80","17.00","18.00"
"draft-order",GET,200,21733,"5.94","42.29","48.00","53.78"
"draft-order",POST,200,6705,"1.83","157.43","210.60","232.41"
"draft-order/bag/items",POST,200,21731,"5.94","34.59","38.99","44.84"
"draft-order?expand=status",GET,200,5430,"1.48","48.93","54.00","60.79"
"draft-order?expand=status%2Cbilling%2Cdelivery",GET,200,32596,"8.91","44.84","51.00","56.79"
"draft-order?expand=status%2Cdelivery%2Cbilling&includeServiceLevels=true",GET,200,10897,"2.98","164.24","194.19","238.13"
"draft-order?expand=status%2Cdelivery&includeServiceLevels=true",GET,200,1346,"0.37","167.74","206.06","248.63"
"draft-order?expand=status%2Cdelivery&origin=cart",GET,200,15302,"4.18","84.51","96.50","104.39"
"GetDraftOrder_ViewCart",GET,200,15302,"4.18","84.51","96.52","104.36"
"Delivery Group",PUT,200,2728,"0.75","100.59","142.00","150.76"
"initiate-checkout",POST,200,4444,"1.21","126.55","138.38","155.64"
"Submit Order",POST,200,2261,"0.62","218.12","247.75","290.97"
"Best Coupon",GET,200,32614,"8.91","67.24","74.13","81.00"
