Endpoint,Method,testresponsecode,Count,TPS,Avg,P90,P95
"addresses ",GET,200,36386,"9.94","20.03","22.00","23.00"
"saved-items ",GET,200,22482,"6.14","38.84","50.31","56.20"
"myFavorites ",GET,200,15014,"4.10","47.33","63.79","70.01"
"addresses ",POST,201,12128,"3.31","98.26","108.28","114.00"
"payment-methods ",GET,200,11764,"3.22","23.09","26.00","27.44"
"myFavorites ",POST,201,7525,"2.06","33.12","37.00","39.00"
"e7414fb36e996dfa82952278d91ddc0f ",GET,200,7486,"2.05","132.34","151.37","168.95"
"saved-items ",POST,201,7509,"2.05","40.05","43.00","45.66"
"trending-list ",GET,200,7486,"2.05","97.00","130.93","162.16"
"savedForLater ",GET,200,3412,"0.93","9.38","11.00","12.94"
