Endpoint,StatusCode,TPS,Count,Average,P90,P95
"/content-aggregator/aggregate-pages/home",200,"1.11",4079,"18.36","20.00","21.00"
"/content-aggregator/aggregate-pages/s*",200,"44.39",162428,"26.82","30.00","31.84"
"/content-aggregator/aggregate-pages/s*",404,"0.04",135,"8.67","10.00","10.00"
"/content-aggregator/aggregate-pages/g*",200,"51.18",187280,"40.97","78.85","99.24"
"/content-aggregator/aggregate-pages/g*",206,"0.00",2,"285.50","423.50","440.75"
"/content-aggregator/aggregate-pages/g*",404,"0.03",92,"12.73","30.00","31.45"
"/content-aggregator/aggregate-pages/d*",200,"2.12",7769,"102.91","202.36","222.12"
"/content-aggregator/aggregate-pages/d*",404,"0.00",1,"5.00","5.00","5.00"
"/content-aggregator/aggregate-pages/m*",200,"0.00",1,"18.00","18.00","18.00"
"/content-aggregator/shared-components/zones/SiteWidePromo/*",200,"82.22",300851,"17.25","25.91","36.64"
"/content-aggregator/shared-components/zones/SiteWidePromo/*",404,"0.05",194,"11.89","9.00","10.00"
"/content-aggregator/shared-components/zones/s1/pdp*",200,"104.95",384029,"20.21","29.02","41.84"
"/content-aggregator/shared-components/zones/s1/pdp*",404,"0.15",546,"8.30","11.29","14.17"
"/content-aggregator/shared-components/zones/SiteWideTimer/*",200,"274.57",1004652,"14.17","21.91","29.12"
"/content-aggregator/shared-components/zones/SiteWideTimer/*",404,"0.24",867,"7.53","10.00","13.00"
"/content-aggregator/globalnav/L2",200,"0.00",2,"13.00","13.80","13.90"
