Endpoint,StatusCode,TPS,Count,Average,P90,P95
"/content-api/aggregate-pages/home",200,"1.11",4079,"8.01","9.00","9.07"
"/content-api/aggregate-pages/s*",200,"44.39",162424,"22.01","25.00","26.03"
"/content-api/aggregate-pages/s*",404,"0.04",134,"4.31","5.00","5.00"
"/content-api/aggregate-pages/g*",200,"51.18",187274,"24.16","29.01","34.11"
"/content-api/aggregate-pages/g*",404,"0.02",63,"2.97","5.00","5.00"
"/content-api/aggregate-pages/g*",500,"0.01",29,"20.14","23.20","24.00"
"/content-api/aggregate-pages/d*",200,"2.12",7768,"13.05","16.01","18.00"
"/content-api/aggregate-pages/d*",404,"0.00",1,"3.00","3.00","3.00"
"/content-api/aggregate-pages/m*",200,"0.00",1,"15.00","15.00","15.00"
"/content-api/shared-components/zones/SiteWidePromo/*",200,"82.22",300847,"6.98","8.00","8.00"
"/content-api/shared-components/zones/SiteWidePromo/*",404,"0.04",135,"3.90","4.00","5.00"
"/content-api/shared-components/zones/SiteWideTimer/*",200,"274.56",1004624,"5.76","7.00","7.00"
"/content-api/shared-components/zones/SiteWideTimer/*",404,"0.07",269,"3.93","4.00","5.00"
"/content-api/globalnav/L2",200,"0.00",2,"9.00","9.00","9.00"
"/content-api/content/couponTile",200,"0.03",94,"61.57","65.00","66.00"
