Endpoint,Resp,Count,TPS,Avg,P90,P95
OTS,200,90322,"24.68","129.47","198.10","255.83"
PSB,2,1,"0.00",,,
PSB,20,2,"0.00",,,
PSB,200,769602,"210.33","12.15","16.00","17.83"
"Tax Service",200,81154,"22.18","124.22","184.22","247.72"
Sabrix,81923,"22.39","116.62","173.25","221.84"
"Pricing Service",1,"0.00",,
"Pricing Service",5,"0.00",,
"Pricing Service",897920,"245.40","4.00","5.00"
"Promotion Evaluation",3,"0.00",,,
"Promotion Evaluation",583650,"159.51","5.60","7.00","7.00"
"Shipment Service",2,"0.00",,,
"Shipment Service",5,"0.00",,,
"Shipment Service",570349,"155.88","1.87","2.97","3.00"
"ALL SKU LEVEL",200,4592,"1.25","4.70","6.00","7.00"
"PRODUCT LEVEL",200,4592,,"4.70","6.00","7.00"
"SKU LEVEL",20,2,"0.00",,,
"SKU LEVEL",200,356745,"97.50","3.57","4.00","4.05"
"SKU LEVEL",404,5543,"1.51","6.24","12.00","13.00"
PPLEVEL,200,84516,"23.10","3.60","4.00","5.00"
PPLEVEL,404,30968,"8.46","3.20","4.00","4.00"
"RTP_SEARCH_48TILES",20,1,"0.00",,,
"RTP_SEARCH_48TILES",200,399264,"109.12","3.73","6.00","8.00"
CarePlan,200,51082,"13.96","31.60","49.78","53.04"
CouponCode,200,73,,"5.22","6.00","7.00"
