Endpoint,StatusCode,Count,TPS,Avg,P90,P95
"Gallery-organic",200,17528,"4.79","76.06","125.19","166.34"
"Gallery-organic",206,26598,"7.27","30.63","73.36","86.24"
"Gallery-organic",302,138,"0.04","5.57","5.00","6.00"
"Gallery-organic",400,2,"0.00","59.50","66.30","67.15"
"Gallery-organic",500,16,"0.00","25.00","22.00","58.00"
"Gallery-sort-organic",200,13672,"3.74","70.99","114.38","154.98"
"Gallery-sort-organic",206,2675,"0.73","28.02","71.35","92.75"
"Gallery_PAGINATION-organic",200,6997,"1.91","88.24","139.77","191.35"
"Gallery_PAGINATION-organic",206,17783,"4.86","37.07","67.28","99.00"
"Gallery_PAGINATION-organic",302,151,"0.04","6.93","6.00","6.00"
"Gallery_FACET-organic",200,16962,"4.64","65.33","115.89","155.34"
"Gallery_FACET-organic",206,172,"0.05","23.13","24.90","75.45"
"Gallery_FACET-organic",302,5,"0.00","4.00","4.60","4.80"
"Gallery_FACET-organic",500,1,"0.00","195.00","195.00","195.00"
