Endpoint,StatusCode,Count,TPS,Avg,P90,P95
"CompleteSearch-organic",200,133474,"36.48","139.91","251.92","326.32"
"CompleteSearch-organic",206,10324,"2.82","72.00","112.38","137.79"
"CompleteSearch-organic",400,2,"0.00","42.00","73.20","77.10"
"CompleteSearch-sort-organic",200,13357,"3.65","85.15","132.50","168.69"
"CompleteSearch-sort-organic",206,23,"0.01","58.78","93.00","117.00"
"CompleteSearch_PAGINATION-organic",200,12098,"3.31","129.36","222.51","295.89"
"CompleteSearch_PAGINATION-organic",206,7996,"2.19","58.90","89.56","119.17"
"CompleteSearch_FACET-organic",200,16970,"4.64","84.10","136.81","172.02"
"CompleteSearch_FACET-organic",206,24,"0.01","75.46","88.70","90.70"
"CompleteSearch_Ntt-organic",200,2,"0.00","156.00","163.20","164.10"
"v1/search-classifier",200,180277,"49.27","10.64","14.36","15.83"
"Predictive_Search",200,1076664,"294.25","8.50","13.00","15.00"
"organicproductlist/g",200,143588,"39.24","39.38","52.50","68.94"
"organicproductlist/g",500,2,"0.00","226.50","348.50","363.75"
"Search-storelocator_Location_/Gallery",200,281283,"76.87","48.90","73.44","97.59"
"Search-storelocator_Location_/Gallery",400,57,"0.02","26.02","41.00","42.40"
"Search-storelocator_Location_/Gallery",500,18,"0.00","65.22","129.40","305.85"
"Search-storelocator_Location_/Search",200,187055,"51.12","99.91","164.04","201.89"
"Search-storelocator_Location_/Search",400,40,"0.01","32.00","52.00","52.15"
"Overall_Search_Organic",200,189551,"51.80","126.18","228.92","298.74"
"Overall_Search_Organic",206,32359,"8.84","68.88","101.70","130.09"
"Overall_Search_Organic",400,2,"0.00","42.00","73.20","77.10"
"Overall_Gallery_Organic",200,55142,"15.07","73.04","121.74","163.19"
"Overall_Gallery_Organic",206,47228,"12.91","32.88","72.61","90.43"
"Overall_Gallery_Organic",302,294,"0.08","6.24","6.00","6.00"
"Overall_Gallery_Organic",400,2,"0.00","59.50","66.30","67.15"
"Overall_Gallery_Organic",500,17,"0.00","35.00","77.80","164.60"
"Overall_Search-storelocator",200,468338,"128.00","69.27","129.29","161.83"
"Overall_Search-storelocator",400,97,"0.03","28.48","45.40","52.00"
"Overall_Search-storelocator",500,18,"0.00","65.22","129.40","305.85"
