Endpoint,Method,testresponsecode,Count,Avg,P90,P95,TPS
"draft-order/bag/items",POST,422,1186,"44.88","63.74358974358975","74.94444444444444","0.33"
"draft-order?drawerLoader=true",GET,412,226,"17.87",23,27,"0.06"
"draft-order?expand=status%2Cbilling%2Cdelivery",GET,412,870,"17.08","20.109090909090913","23.89999999999999","0.24"
"draft-order?origin=cart&expand=billing",GET,412,2300,"18.05",23,"26.84835164835164","0.64"
"draft-order?origin=pdp",GET,412,951,"16.01",18,"19.555555555555557","0.26"
"draft-order?showLoader=false&origin=pdp",GET,412,545,"17.75",22,25,"0.15"
"draft-order/adjustment/discounts",POST,409,288,"17.82","19.950000000000003",20,"0.08"
"draft-order",POST,401,135,"0.57",1,1,"0.04"
"draft-order/adjustment/discounts",GET,401,2800,"0.58",1,1,"0.78"
"draft-order/adjustment/discounts",POST,401,400,"0.60",1,1,"0.11"
"draft-order/bag/items",POST,401,2409,"0.62",1,1,"0.67"
"draft-order?drawerLoader=true",GET,401,325,"0.64",1,1,"0.09"
"draft-order?expand=status%2Cdelivery&origin=cart",GET,401,152,"0.63",1,1,"0.04"
"draft-order?origin=cart",GET,401,2056,"0.55",1,1,"0.57"
"draft-order?origin=cart&expand=billing",GET,401,2957,"0.59",1,1,"0.82"
"draft-order?showLoader=false&origin=pdp",GET,401,1000,"0.60",1,1,"0.28"
"draft-order?status=raw",GET,401,4539,"0.55",1,1,"1.26"
"draft-order",POST,400,1429,"72.51","25.01666666666667","576.9999999999995","0.40"
"draft-order/adjustment/discounts",POST,400,2610,"49.23","37.802678571428565","65.63161764705855","0.73"
"draft-order/billing/credit-cards",POST,400,206,"353.66",741,"870.75","0.06"
"draft-order?status=raw",GET,304,565,"7.94",9,10,"0.16"
"draft-order/adjustment/discounts",DELETE,204,191,"13.85",15,16,"0.05"
"draft-order/bag/items",PATCH,204,225,"24.46",30,34,"0.06"
"draft-order/charity",PUT,204,108,"10.41",12,12,"0.03"
"draft-order/device",PUT,204,2112,"10.96",12,13,"0.59"
merge,POST,204,5418,"50.22","87.46543385490756","103.01114661654131","1.51"
"draft-order/adjustment/discounts",POST,201,11607,"45.91","126.11477656792722","150.98314847942748","3.22"
"draft-order/billing/credit-cards",POST,201,1412,"784.61","1238.3414814814814","1400.342","0.39"
"draft-order/contact-methods",POST,201,1239,"15.70","17.844897959183676",18,"0.34"
"draft-order",GET,200,3341,"47.25","57.198973042362","59.953177257525084","0.93"
"draft-order",POST,200,6603,"831.73","1428.969021739131","2058.3184320073974","1.83"
"draft-order/adjustment/discounts",GET,200,8705,"10.69","16.07609329446064",19,"2.42"
"draft-order/bag/items",POST,200,21338,"45.90","59.39913043478262","68.15402582159624","5.93"
"draft-order?code=GREATDAD&serialNumber=&couponAnimation=false&selectedCouponCode=GREATDAD",GET,200,345,"23.50","53.05000000000001","64.80000000000001","0.10"
"draft-order?code=GREATDAD&serialNumber=&couponAnimation=true&selectedCouponCode=GREATDAD",GET,200,325,"32.82","63.025000000000006","70.80000000000001","0.09"
"draft-order?drawerLoader=true",GET,200,3003,"31.00","65.17993827160495","75.02000000000001","0.83"
"draft-order?expand=status",GET,200,1309,"65.88","81.6567901234568","158.04374999999985","0.36"
"draft-order?expand=status%2Cbilling%2Cdelivery",GET,200,53531,"70.20","108.49819974684851","191.97181084107456","14.87"
"draft-order?expand=status%2Cdelivery%2Cbilling&includeServiceLevels=true&origin=checkout",GET,200,545,"88.39","168.0285714285715","216.79999999999987","0.15"
