service,Method,testresponsecode,Count,Avg,P90,P95,TPS
"payment-methods ",GET,,531152,"15.45636465644486",24,"26.041402076237553","147.54"
"coupons ",GET,,32733,"5.264503711850426",5,19,"9.09"
"saved-items ",GET,,32227,"33.85747975300214","82.36476703962354","109.99253816803552","8.95"
"savedForLater ",GET,,25373,"30.90663303511607","78.58409174480602","100.4143231988082","7.05"
"stores ",GET,,11624,"12.840846524432209",22,"24.07260869565218","3.23"
"myFavorites ",GET,,8030,"80.34047322540474","124.78644705882354","143.47814700193413","2.23"
"addresses ",GET,,7264,"19.7641795154185",22,"25.270238095238085","2.02"
"savedForLater ",POST,,975,"43.712820512820514","50.11794871794872",53,"0.27"
"myFavorites ",POST,,573,"39.0087260034904","48.371428571428595",51,"0.16"
"addresses ",POST,,235,"107.28085106382979",135,"147.89999999999995","0.07"
"scheduling ",GET,,238,"143.0252100840336",160,165,"0.07"
"payment-methods ",POST,,214,"592.9485981308411","860.9000000000001","995.4499999999996","0.06"
