Endpoint,Method,StatusCode,Count,TPS,Avg,P90,P95
draft-order/bag/items,POST,422,1186,0.33,44.88,63.74,74.94
draft-order?drawerLoader=true,GET,412,226,0.06,17.87,23,27
draft-order?expand=status%2Cbilling%2Cdelivery,GET,412,870,0.24,17.08,20.11,23.9
draft-order?origin=cart&expand=billing,GET,412,2300,0.64,18.05,23,26.85
draft-order?origin=pdp,GET,412,951,0.26,16.01,18,19.56
draft-order?showLoader=false&origin=pdp,GET,412,545,0.15,17.75,22,25
draft-order/adjustment/discounts,POST,409,288,0.08,17.82,19.95,20
draft-order,POST,401,135,0.04,0.57,1,1
draft-order/adjustment/discounts,GET,401,2800,0.78,0.58,1,1
draft-order/adjustment/discounts,POST,401,400,0.11,0.6,1,1
draft-order/bag/items,POST,401,2409,0.67,0.62,1,1
draft-order?drawerLoader=true,GET,401,325,0.09,0.64,1,1
draft-order?expand=status%2Cdelivery&origin=cart,GET,401,152,0.04,0.63,1,1
draft-order?origin=cart,GET,401,2056,0.57,0.55,1,1
draft-order?origin=cart&expand=billing,GET,401,2957,0.82,0.59,1,1
draft-order?showLoader=false&origin=pdp,GET,401,1000,0.28,0.6,1,1
draft-order?status=raw,GET,401,4539,1.26,0.55,1,1
draft-order,POST,400,1429,0.4,72.51,25.02,577
draft-order/adjustment/discounts,POST,400,2610,0.73,49.23,37.8,65.63
draft-order/billing/credit-cards,POST,400,206,0.06,353.66,741,870.75
draft-order?status=raw,GET,304,565,0.16,7.94,9,10
draft-order/adjustment/discounts,DELETE,204,191,0.05,13.85,15,16
draft-order/bag/items,PATCH,204,225,0.06,24.46,30,34
draft-order/charity,PUT,204,108,0.03,10.41,12,12
draft-order/device,PUT,204,2112,0.59,10.96,12,13
merge,POST,204,5418,1.51,50.22,87.47,103.01
draft-order/adjustment/discounts,POST,201,11607,3.22,45.91,126.11,150.98
draft-order/billing/credit-cards,POST,201,1412,0.39,784.61,1238.34,1400.34
draft-order/contact-methods,POST,201,1239,0.34,15.7,17.84,18
draft-order,GET,200,3341,0.93,47.25,57.2,59.95
draft-order,POST,200,6603,1.83,831.73,1428.97,2058.32
draft-order/adjustment/discounts,GET,200,8705,2.42,10.69,16.08,19
draft-order/bag/items,POST,200,21338,5.93,45.9,59.4,68.15
draft-order?code=GREATDAD&serialNumber=&couponAnimation=false&selectedCouponCode=GREATDAD,GET,200,345,0.1,23.5,53.05,64.8
